id;descricao;registro_ministerio_saude;codigo_barras;qtd_atual;qtd_min;qtd_max;observacoes;apresentacao
1;Account Paraná;hack;Incrível inte;46315;66541;93789;Queijo deliver;port Sapatos customer
2;Refinado indexing Roupas;Berkshire sensor infomediaries;Salada Quênia;47587;58339;38996;Turismo panel SDD;XML Salgadinhos
3;Piauí Regional deposit;Account;Refinado auxi;38654;30212;5878;Market Cambridgeshire;syndicate collaborative Agent
4;payment payment deposit;override Engineer standardization;vortals petró;92466;17837;50957;Filmes real-time;project Functionality
5;input Marginal global;driver Prático compressing;deposit;29087;85224;42708;Orchestrator;Salgadinhos transmitter
6;Congelado;Market Aço Agent;hacking Rodov;89903;58603;20460;back-end à attitude-oriented;generation
7;backing;indexing violeta;Web;5601;49103;65774;deposit laranja Maiote;deposit Executive hybrid
8;Computadores Bedfordshire;Calças portal;Cloned envisi;76919;68456;64886;Plástico Research Chief;Home Sheqel
9;e-markets EXE workforce;repurpose generating Beleza;Rústico multi;51681;58072;12802;Genérico castanho;reboot Corporate Computador
10;Ilha;jade Aço Moroccan;Peixe quantif;68942;59186;56290;caramelo Metal;back-end ability leverage
